type,startTime,sportTime,distance,maxPace,minPace,avgPace,calories
14,1632560831,115,1.6,1.0722396,100.0,1.14,23.0
14,1632558043,2643,2.6666667,0.89515764,1950.0,1.366,456.0
14,1632494424,1680,2.6666667,1.0445421,1150.0,1.46,265.0
14,1632236894,2833,2.6666667,1.0839531,2100.0,1.348,498.0
14,1632150326,2847,1.6,1.0448773,2100.0,1.355,497.0
14,1631890809,2762,1.9467446,1.0317441,2000.0,1.38,474.0
14,1631805027,2778,2.2,1.0009911,2000.0,1.388,482.0
14,1631632112,2972,2.6666667,0.98267233,2100.0,1.414,497.0
14,1631545427,2818,2.6666667,1.0663469,2000.0,1.408,477.0
16,1631119247,4365,0.0,1.8000001,0.0,0.0,524.0
14,1630681454,2757,2.0,0.833418,2000.0,1.365,469.0
9,1630593305,357,1.0441604,0.13490887,1747.0,0.204,25.0
9,1630592238,417,1.1764705,0.14529379,1784.0,0.233,68.0
